fecha,conv_llam_netas,aaee_llam_netas,mail_envios,mail_llam_netas,carrefour_llam_netas,sms_envios,sms_llam_netas,transf_llam_netas,est_llam_netas,tot_llam_netas,vtas_movil,vtas_fijo,sheet,radio_llam_netas
2020-03-01,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","3,0",1414 Residencial,"0,0"
2020-03-02,"1136,0","249,0","0,0","35,0","0,0","0,0","18,0","8,0","1616,84","1446,0","97,0","89,0",1414 Residencial,"0,0"
2020-03-03,"883,0","252,0","0,0","26,0","0,0","0,0","14,0","46,0","1453,3","1221,0","96,0","83,0",1414 Residencial,"0,0"
2020-03-04,"871,0","266,0","0,0","32,0","0,0","0,0","13,0","26,0","1426,74","1208,0","97,0","89,0",1414 Residencial,"0,0"
2020-03-05,"864,0","142,0","120036,0","20,0","0,0","0,0","13,0","15,0","1117,8600000000001","1054,0","86,0","59,0",1414 Residencial,"0,0"
2020-03-06,"762,0","41,0","0,0","16,0","0,0","0,0","12,0","17,0","817,26","848,0","97,0","50,0",1414 Residencial,"0,0"
2020-03-07,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0","8,0",1414 Residencial,"0,0"
2020-03-08,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0",1414 Residencial,"0,0"
2020-03-09,"1050,0","269,0","0,0","19,0","0,0","0,0","8,0","20,0","1453,1373529411762","1366,0","94,0","95,0",1414 Residencial,"0,0"
2020-03-10,"896,0","65,0","0,0","18,0","0,0","0,0","21,0","24,0","1377,6865331491713","1024,0","101,0","68,0",1414 Residencial,"0,0"
2020-03-11,"808,0","99,0","0,0","26,0","0,0","0,0","10,0","17,0","1376,431812080537","960,0","82,0","56,0",1414 Residencial,"0,0"
2020-03-12,"871,0","24,0","0,0","25,0","0,0","0,0","11,0","19,0","1047,5357764876633","950,0","94,0","73,0",1414 Residencial,"0,0"
2020-03-13,"754,0","23,0","0,0","32,0","0,0","0,0","13,0","18,0","697,069825436409","840,0","97,0","59,0",1414 Residencial,"0,0"
2020-03-14,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","4,0",1414 Residencial,"0,0"
2020-03-15,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Residencial,"0,0"
2020-03-16,"933,0","112,0","0,0","22,0","0,0","0,0","19,0","40,0","1468,3424240147926","1126,0","60,0","58,0",1414 Residencial,"0,0"
2020-03-17,"734,0","33,0","0,0","25,0","0,0","0,0","13,0","34,0","1258,8070020394289","839,0","69,0","60,0",1414 Residencial,"0,0"
2020-03-18,"842,0","86,0","0,0","22,0","0,0","0,0","14,0","61,0","1015,1903870274296","1025,0","65,0","51,0",1414 Residencial,"0,0"
2020-03-19,"638,0","38,0","0,0","15,0","0,0","0,0","11,0","69,0","800,9083818694762","771,0","39,0","59,0",1414 Residencial,"0,0"
2020-03-20,"783,0","39,0","0,0","12,0","0,0","0,0","12,0","34,0","664,569825436409","880,0","77,0","54,0",1414 Residencial,"0,0"
2020-03-21,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0",1414 Residencial,"0,0"
2020-03-22,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0",1414 Residencial,"0,0"
2020-03-23,"425,0","95,0","0,0","38,0","0,0","0,0","24,0","42,0","1438,123486074194","624,0","34,0","54,0",1414 Residencial,"0,0"
2020-03-24,"625,0","45,0","0,0","31,0","0,0","0,0","15,0","21,0","1195,4439252340835","737,0","40,0","58,0",1414 Residencial,"0,0"
2020-03-25,"823,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","974,4988792877274","823,0","39,0","63,0",1414 Residencial,"0,0"
2020-03-26,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","826,7562124345939","0,0","0,0","0,0",1414 Residencial,"0,0"
2020-03-27,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","718,0902616340505","0,0","0,0","0,0",1414 Residencial,"0,0"
2020-03-28,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Residencial,"0,0"
2020-03-29,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Residencial,"0,0"
2020-03-30,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1168,269484571825","0,0","0,0","0,0",1414 Residencial,"0,0"
2020-03-31,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","908,7199984694892","0,0","0,0","0,0",1414 Residencial,"0,0"
2020-03-01,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-02,"158,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","245,0","160,0","7,0","19,0",1414 Empresas,"0,0"
2020-03-03,"190,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","230,0","192,0","19,0","16,0",1414 Empresas,"0,0"
2020-03-04,"148,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","200,0","148,0","9,0","23,0",1414 Empresas,"0,0"
2020-03-05,"147,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","185,0","147,0","18,0","18,0",1414 Empresas,"0,0"
2020-03-06,"142,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","175,0","143,0","14,0","14,0",1414 Empresas,"0,0"
2020-03-07,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","2,0","0,0",1414 Empresas,"0,0"
2020-03-08,"-2,0","2,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","1,0","0,0",1414 Empresas,"0,0"
2020-03-09,"187,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","245,0","190,0","20,0","17,0",1414 Empresas,"0,0"
2020-03-10,"170,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","230,0","170,0","23,0","22,0",1414 Empresas,"0,0"
2020-03-11,"140,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","200,0","140,0","24,0","8,0",1414 Empresas,"0,0"
2020-03-12,"139,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","185,0","139,0","10,0","15,0",1414 Empresas,"0,0"
2020-03-13,"114,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","175,0","114,0","17,0","10,0",1414 Empresas,"0,0"
2020-03-14,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-15,"-1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-16,"119,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","245,0","119,0","7,0","10,0",1414 Empresas,"0,0"
2020-03-17,"118,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","230,0","118,0","22,0","11,0",1414 Empresas,"0,0"
2020-03-18,"117,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","200,0","118,0","7,0","8,0",1414 Empresas,"0,0"
2020-03-19,"70,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","185,0","70,0","8,0","7,0",1414 Empresas,"0,0"
2020-03-20,"97,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","175,0","97,0","16,0","1,0",1414 Empresas,"0,0"
2020-03-21,"-1,0","1,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-22,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-23,"105,0","3,0","0,0","0,0","0,0","0,0","0,0","0,0","245,0","108,0","5,0","4,0",1414 Empresas,"0,0"
2020-03-24,"76,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","230,0","76,0","4,0","7,0",1414 Empresas,"0,0"
2020-03-25,"70,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","200,0","70,0","6,0","7,0",1414 Empresas,"0,0"
2020-03-26,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","185,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-27,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","175,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-28,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-29,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-30,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","245,0","0,0","0,0","0,0",1414 Empresas,"0,0"
2020-03-31,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","230,0","0,0","0,0","0,0",1414 Empresas,"0,0"
